rank	taxid	name	clade_reads	direct_reads	percent
S	155892	Caulobacter vibrioides	6	6	0.00
S	69666	Caulobacter mirabilis	2	2	0.00
G	41275	Brevundimonas	141	1	0.06
S	2774190	Brevundimonas goettingensis	98	98	0.04
S	74313	Brevundimonas subvibrioides	35	31	0.02
S1	633149	Brevundimonas subvibrioides ATCC 15264	4	4	0.00
S	1312364	Brevundimonas albigilva	6	6	0.00
G1	2622653	unclassified Brevundimonas	1	0	0.00
S	2579977	Brevundimonas sp. SGAir0440	1	1	0.00
G	2768684	Terricaulis	104	0	0.05
S	2686094	Terricaulis silvestris	104	104	0.05
G	76890	Asticcacaulis	14	0	0.01
S	78587	Asticcacaulis excentricus	14	0	0.01
S1	573065	Asticcacaulis excentricus CB 48	14	14	0.01
G	20	Phenylobacterium	2	0	0.00
S	284016	Phenylobacterium zucineum	2	0	0.00
S1	450851	Phenylobacterium zucineum HLK1	2	2	0.00
O	2800059	Maricaulales	9	0	0.00
F	2800061	Maricaulaceae	9	0	0.00
G	1649466	Marinicauda	9	0	0.00
S	2029849	Marinicauda algicola	9	9	0.00
O	766	Rickettsiales	1	0	0.00
F	942	Anaplasmataceae	1	0	0.00
F1	952	Wolbachieae	1	0	0.00
G	953	Wolbachia	1	0	0.00
G1	2640676	unclassified Wolbachia	1	0	0.00
S	169402	Wolbachia endosymbiont of Folsomia candida	1	1	0.00
C	1807140	Acidithiobacillia	1	0	0.00
O	225057	Acidithiobacillales	1	0	0.00
F	225058	Acidithiobacillaceae	1	0	0.00
G	119977	Acidithiobacillus	1	0	0.00
S	160808	Acidithiobacillus ferrivorans	1	0	0.00
S1	743299	Acidithiobacillus ferrivorans SS3	1	1	0.00
D1	1783272	Terrabacteria group	65427	24	28.58
P	201174	Actinomycetota	36246	3	15.83
C	1760	Actinomycetes	35039	119	15.30
O	85006	Micrococcales	14023	5	6.12
F	85023	Microbacteriaceae	5992	14	2.62
G	33882	Microbacterium	2467	16	1.08
G1	2609290	unclassified Microbacterium	841	7	0.37
S	912630	Microbacterium sp. LKL04	676	676	0.30
S	1906274	Microbacterium sp. JZ31	64	64	0.03
S	2002831	Microbacterium sp. AISO3	23	23	0.01
S	3049071	Microbacterium sp. zg-Y625	17	17	0.01
S	3135262	Microbacterium sp. LWO13-1.2	12	12	0.01
S	3049069	Microbacterium sp. zg-B96	9	9	0.00
S	3135255	Microbacterium sp. LWH10-1.2	5	5	0.00
S	1916917	Microbacterium sp. 1.5R	5	5	0.00
S	3049072	Microbacterium sp. zg-Y818	3	3	0.00
S	2483401	Microbacterium sp. 10M-3C3	3	3	0.00
S	3025663	Microbacterium sp. Clip185	2	2	0.00
S	2995140	Microbacterium sp. SL75	2	2	0.00
S	2875948	Microbacterium sp. cx-55	2	2	0.00
S	2654193	Microbacterium sp. JZ37	1	1	0.00
S	3142976	Microbacterium sp. AZCO	1	1	0.00
S	2763257	Microbacterium sp. YJN-G	1	1	0.00
S	2962064	Microbacterium sp. M28	1	1	0.00
S	2981139	Microbacterium sp. AB	1	1	0.00
S	3049070	Microbacterium sp. zg-B185	1	1	0.00
S	3135260	Microbacterium sp. LWH13-1.2	1	1	0.00
S	1696072	Microbacterium sp. CGR1	1	1	0.00
S	2014534	Microbacterium sp. PM5	1	1	0.00
S	1906742	Microbacterium sp. BH-3-3-3	1	1	0.00
S	2567934	Microbacterium sp. 4R-513	1	1	0.00
S	273677	Microbacterium oleivorans	373	373	0.16
S	36805	Microbacterium aurum	356	356	0.16
S	2614638	Microbacterium caowuchunii	331	331	0.14
S	84292	Microbacterium chocolatum	306	306	0.13
S	156977	Microbacterium resistens	80	80	0.03
S	1072463	Microbacterium lemovicicum	74	74	0.03
S	2033	Microbacterium testaceum	21	13	0.01
S1	979556	Microbacterium testaceum StLB037	8	8	0.00
S	3028316	Microbacterium horticulturae	13	13	0.01
S	370764	Microbacterium pygmaeum	12	12	0.01
S	104336	Microbacterium foliorum	7	7	0.00
S	344163	Microbacterium terricola	7	7	0.00
S	2782167	Microbacterium luteum	7	7	0.00
S	2541726	Microbacterium wangchenii	6	6	0.00
S	683047	Microbacterium suwonense	5	5	0.00
S	1572644	Microbacterium proteolyticum	2	2	0.00
S	1678237	Microbacterium rhizosphaerae	2	2	0.00
S	2782168	Microbacterium atlanticum	2	2	0.00
S	33883	Microbacterium arborescens	1	1	0.00
S	936337	Microbacterium amylolyticum	1	1	0.00
S	515415	Microbacterium invictum	1	1	0.00
S	1816425	Microbacterium plantarum	1	1	0.00
S	2782169	Microbacterium cremeum	1	1	0.00
S	273678	Microbacterium hydrocarbonoxydans	1	1	0.00
G	33877	Agromyces	1114	1	0.49
S	2509455	Agromyces protaetiae	777	777	0.34
S	453304	Agromyces aureus	232	232	0.10
S	659012	Agromyces soli	104	104	0.05
G	2680004	Protaetiibacter	1082	0	0.47
S	2592654	Protaetiibacter larvae	726	726	0.32
S	2419774	Protaetiibacter intestinalis	356	356	0.16
G	55968	Leucobacter	666	0	0.29
S	683042	Leucobacter denitrificans	451	451	0.20
S	1935379	Leucobacter muris	213	213	0.09
S	340320	Leucobacter luti	1	1	0.00
S	2873270	Leucobacter tenebrionis	1	1	0.00
G	69578	Cryobacterium	272	6	0.12
G1	2649013	unclassified Cryobacterium	164	9	0.07
S	3048582	Cryobacterium sp. 10S3	52	52	0.02
S	1897060	Cryobacterium sp. SO2	39	39	0.02
S	2861288	Cryobacterium sp. PAMC25264	27	27	0.01
S	1926290	Cryobacterium sp.	18	18	0.01
S	1978566	Cryobacterium sp. LW097	18	18	0.01
S	1897061	Cryobacterium sp. SO1	1	1	0.00
S	670052	Cryobacterium arcticum	102	102	0.04
G	110932	Leifsonia	256	0	0.11
S	1575	Leifsonia xyli	256	0	0.11
S1	59736	Leifsonia xyli subsp. xyli	256	0	0.11
S2	281090	Leifsonia xyli subsp. xyli str. CTCB07	256	256	0.11
G	120212	Subtercola	43	0	0.02
G1	2648727	unclassified Subtercola	41	0	0.02
S	2846775	Subtercola sp. PAMC28395	41	41	0.02
S	2895559	Subtercola endophyticus	2	2	0.00
G	337004	Microcella	42	0	0.02
S	279828	Microcella alkaliphila	39	39	0.02
S	1804990	Microcella flavibacter	2	2	0.00
S	2750620	Microcella indica	1	1	0.00
G	33886	Rathayibacter	9	0	0.00
S	59737	Rathayibacter iranicus	6	6	0.00
G1	2609250	unclassified Rathayibacter	3	3	0.00
G	256818	Gulosibacter	9	0	0.00
S	256821	Gulosibacter molinativorax	9	9	0.00
G	235888	Salinibacterium	7	0	0.00
G1	2632331	unclassified Salinibacterium	7	0	0.00
S	2603292	Salinibacterium sp. dk2585	7	7	0.00
G	1230698	Marisediminicola	4	0	0.00
S	674079	Marisediminicola antarctica	4	4	0.00
G	46352	Agrococcus	3	0	0.00
S	3068634	Agrococcus beijingensis	2	2	0.00
S	684552	Agrococcus carbonis	1	1	0.00
G	110934	Agreia	1	0	0.00
G1	2641148	unclassified Agreia	1	0	0.00
S	2773266	Agreia sp. COWG	1	1	0.00
G	190323	Plantibacter	1	0	0.00
G1	2624265	unclassified Plantibacter	1	0	0.00
S	2583822	Plantibacter sp. M259	1	1	0.00
G	96492	Frigoribacterium	1	0	0.00
G1	2627005	unclassified Frigoribacterium	1	0	0.00
S	2994664	Frigoribacterium sp. SL97	1	1	0.00
G	1573	Clavibacter	1	0	0.00
S	2768071	Clavibacter zhangzhiyongii	1	1	0.00
F	85017	Promicromonosporaceae	3224	0	1.41
G	254250	Isoptericola	2549	0	1.11
S	372663	Isoptericola dokdonensis	2549	0	1.11
S1	1300344	Isoptericola dokdonensis DS-3	2549	2549	1.11
G	186188	Xylanimonas	675	0	0.29
S	2509459	Xylanimonas allomyrinae	675	675	0.29
F	85021	Intrasporangiaceae	1449	0	0.63
G	53457	Janibacter	1449	1	0.63
S	53458	Janibacter limosus	955	955	0.42
G1	2649294	unclassified Janibacter	451	0	0.20
S	3115209	Janibacter sp. A1S7	430	430	0.19
S	3028808	Janibacter sp. DB-40	16	16	0.01
S	2963431	Janibacter sp. CX7	3	3	0.00
S	2761047	Janibacter sp. YB324	2	2	0.00
S	103817	Janibacter terrae	26	26	0.01
S	1285192	Janibacter cremeus	15	15	0.01
S	857417	Janibacter indicus	1	1	0.00
F	1268	Micrococcaceae	1240	0	0.54
G	32207	Rothia	723	0	0.32
S	43675	Rothia mucilaginosa	722	12	0.32
S1	680646	Rothia mucilaginosa DY-18	710	710	0.31
S	37923	Rothia kristinae	1	1	0.00
G	596707	Sinomonas	188	0	0.08
S	37927	Sinomonas atrocyanea	188	188	0.08
G	57493	Kocuria	181	4	0.08
S	388357	Kocuria turfanensis	176	176	0.08
S	71999	Kocuria palustris	1	1	0.00
G	1742989	Glutamicibacter	58	1	0.03
S	37929	Glutamicibacter nicotianae	30	30	0.01
S	256701	Glutamicibacter arilaitensis	27	0	0.01
S1	861360	Glutamicibacter arilaitensis Re117	27	27	0.01
G	1269	Micrococcus	55	0	0.02
S	1273	Micrococcus lylae	54	54	0.02
S	1270	Micrococcus luteus	1	1	0.00
G	1663	Arthrobacter	27	0	0.01
S	656366	Arthrobacter alpinus	19	19	0.01
G1	235627	unclassified Arthrobacter	7	0	0.00
S	2963432	Arthrobacter sp. DNA4	3	3	0.00
S	3140789	Arthrobacter sp. TMP15	1	1	0.00
S	2830993	Arthrobacter sp. StoSoilB13	1	1	0.00
S	1667	Arthrobacter sp.	1	1	0.00
S	2651199	Arthrobacter sp. CDRTa11	1	1	0.00
S	37928	Arthrobacter crystallopoietes	1	1	0.00
G	169133	Citricoccus	7	0	0.00
G1	2632435	unclassified Citricoccus	7	0	0.00
S	3073268	Citricoccus sp. I39-566	5	5	0.00
S	2567881	Citricoccus sp. SGAir0253	2	2	0.00
G	57494	Nesterenkonia	1	0	0.00
G1	2629769	unclassified Nesterenkonia	1	0	0.00
S	2600320	Nesterenkonia sp. NBAIMH1	1	1	0.00
F	85016	Cellulomonadaceae	982	0	0.43
G	1707	Cellulomonas	602	0	0.26
S	11	Cellulomonas gilvus	602	0	0.26
S1	593907	Cellulomonas gilvus ATCC 13127	602	602	0.26
G	665568	Paraoerskovia	380	0	0.17
S	545619	Paraoerskovia marina	374	374	0.16
S	1138587	Paraoerskovia sediminicola	6	6	0.00
F	2805590	Ornithinimicrobiaceae	582	0	0.25
G	125287	Ornithinimicrobium	560	0	0.24
S	1288636	Ornithinimicrobium flavum	560	560	0.24
G	265976	Serinicoccus	22	0	0.01
S	247333	Serinicoccus marinus	22	0	0.01
S1	1123251	Serinicoccus marinus DSM 15273	22	22	0.01
F	85020	Dermabacteraceae	413	0	0.18
G	43668	Brachybacterium	413	0	0.18
S	2795215	Brachybacterium halotolerans	295	0	0.13
S1	2887346	Brachybacterium halotolerans subsp. kimchii	295	295	0.13
S	1652028	Brachybacterium huguangmaarense	108	108	0.05
S	2942909	Brachybacterium kimchii	8	8	0.00
S	2017484	Brachybacterium vulturis	1	1	0.00
S	2017485	Brachybacterium avium	1	1	0.00
F	1331736	Ruaniaceae	58	0	0.03
G	2828348	Occultella	58	0	0.03
S	2675754	Occultella kanbiaonis	58	58	0.03
F	145357	Dermacoccaceae	45	0	0.02
G	745364	Luteipulveratus	45	0	0.02
S	571913	Luteipulveratus mongoliensis	45	45	0.02
F	85018	Dermatophilaceae	11	0	0.00
G	1184606	Austwickia	11	0	0.00
S	100225	Austwickia chelonae	11	11	0.00
F	145358	Bogoriellaceae	10	0	0.00
G	154116	Georgenia	10	0	0.00
G1	2626815	unclassified Georgenia	7	0	0.00
S	3120520	Georgenia sp. M64	7	7	0.00
S	2589797	Georgenia yuyongxinii	3	3	0.00
O1	577468	Micrococcales incertae sedis	9	0	0.00
G	2888818	Pengzhenrongella	9	0	0.00
S	2819238	Pengzhenrongella sicca	9	9	0.00
F	85019	Brevibacteriaceae	3	0	0.00
G	1696	Brevibacterium	3	1	0.00
S	273384	Brevibacterium aurantiacum	1	1	0.00
G1	2614124	unclassified Brevibacterium	1	0	0.00
S	2999062	Brevibacterium sp. BRM-1	1	1	0.00
O	85007	Mycobacteriales	8062	4	3.52
F	1762	Mycobacteriaceae	6016	5	2.63
G	1866885	Mycolicibacterium	5900	34	2.58
S	216929	Mycolicibacterium psychrotolerans	2706	2706	1.18
S	1534348	Mycolicibacterium sarraceniae	822	822	0.36
S	212765	Mycolicibacterium madagascariense	673	673	0.29
S	85968	Mycolicibacterium brumae	279	279	0.12
S	370526	Mycolicibacterium rutilum	239	239	0.10
S	758802	Mycolicibacterium litorale	229	229	0.10
S	126673	Mycolicibacterium doricum	173	173	0.08
S	318424	Mycolicibacterium rufum	163	163	0.07
S	319707	Mycolicibacterium aubagnense	151	151	0.07
S	46351	Mycolicibacterium hassiacum	80	0	0.03
S1	1122247	Mycolicibacterium hassiacum DSM 44199	80	80	0.03
S	1810	Mycolicibacterium vaccae	80	0	0.03
S1	1354275	Mycolicibacterium vaccae 95051	80	80	0.03
S	319706	Mycolicibacterium phocaicum	61	61	0.03
S	1799	Mycolicibacterium aichiense	42	42	0.02
S	146017	Mycolicibacterium boenickei	27	27	0.01
S	1791	Mycolicibacterium aurum	23	23	0.01
S	53462	Mycolicibacterium mageritense	21	21	0.01
S	67081	Mycolicibacterium alvei	21	21	0.01
S	39692	Mycolicibacterium parafortuitum	16	16	0.01
S	117567	Mycolicibacterium frederiksbergense	15	15	0.01
S	28047	Mycolicibacterium confluentis	14	14	0.01
G1	2636767	unclassified Mycolicibacterium	8	0	0.00
S	3023370	Mycolicibacterium sp. TUM20985	3	3	0.00
S	1968788	Mycolicibacterium sp. CBMA 213	2	2	0.00
S	2908837	Mycolicibacterium sp. YH-1	2	2	0.00
S	3064286	Mycolicibacterium sp. MU0053	1	1	0.00
S	85693	Mycolicibacterium monacense	7	7	0.00
S	388459	Mycolicibacterium crocinum	6	6	0.00
S	1534349	Mycolicibacterium helvum	5	5	0.00
S	1797	Mycolicibacterium thermoresistibile	3	3	0.00
S	258505	Mycolicibacterium fluoranthenivorans	1	1	0.00
S	2761578	Mycolicibacterium baixiangningiae	1	1	0.00
G	1763	Mycobacterium	99	1	0.04
G1	2642494	unclassified Mycobacterium	42	0	0.02
S	2903536	Mycobacterium sp. 20KCMC460	24	24	0.01
S	2857059	Mycobacterium sp. SMC-4	10	10	0.00
S	1547487	Mycobacterium sp. ELW1	6	6	0.00
S	2099695	Mycobacterium sp. ITM-2016-00316	2	2	0.00
S	1768	Mycobacterium kansasii	27	27	0.01
G1	120793	Mycobacterium avium complex (MAC)	23	0	0.01
S	1767	Mycobacterium intracellulare	17	0	0.01
S1	222805	Mycobacterium intracellulare subsp. chimaera	17	17	0.01
S	2775496	Mycobacterium senriense	6	6	0.00
S	398694	Mycobacterium shinjukuense	2	2	0.00
S	1789	Mycobacterium xenopi	1	1	0.00
G1	2249310	Mycobacterium simiae complex	1	0	0.00
S	141349	Mycobacterium lentiflavum	1	1	0.00
S	386911	Mycobacterium seoulense	1	1	0.00
G1	77643	Mycobacterium tuberculosis complex	1	0	0.00
S	78331	Mycobacterium canetti	1	0	0.00
S1	1205674	Mycobacterium canettii CIPT 140070010	1	1	0.00
G	1073531	Mycolicibacter	12	0	0.01
S	1795032	Mycolicibacter virginiensis	6	6	0.00
S	1788	Mycolicibacter terrae	4	4	0.00
S	29314	Mycolicibacter hiberniae	2	2	0.00
F	1653	Corynebacteriaceae	969	0	0.42
G	1716	Corynebacterium	969	0	0.42
S	89154	Corynebacterium terpenotabidum	803	0	0.35
S1	1200352	Corynebacterium terpenotabidum Y-11	803	803	0.35
S	225326	Corynebacterium halotolerans	150	0	0.07
S1	1121362	Corynebacterium halotolerans YIM 70093 = DSM 44683	150	150	0.07
S	108486	Corynebacterium falsenii	2	2	0.00
S	2675216	Corynebacterium kalinowskii	2	2	0.00
S	28028	Corynebacterium flavescens	2	2	0.00
S	1697	Corynebacterium ammoniagenes	2	2	0.00
S	1230998	Corynebacterium frankenforstense	2	0	0.00
S1	1437875	Corynebacterium frankenforstense DSM 45800	2	2	0.00
S	349751	Corynebacterium marinum	2	0	0.00
S1	1224162	Corynebacterium marinum DSM 44953	2	2	0.00
S	1725	Corynebacterium xerosis	1	1	0.00
S	1718	Corynebacterium glutamicum	1	1	0.00
S	38289	Corynebacterium jeikeium	1	1	0.00
S	2080757	Corynebacterium pseudopelargi	1	1	0.00
F	85026	Gordoniaceae	690	0	0.30
G	2053	Gordonia	690	2	0.30
S	2831662	Gordonia pseudamarae	646	646	0.28
S	1136941	Gordonia phthalatica	40	40	0.02
G1	2657482	unclassified Gordonia (in: high G+C Gram-positive bacteria)	1	0	0.00
S	2742602	Gordonia sp. X0973	1	1	0.00
S	84595	Gordonia polyisoprenivorans	1	1	0.00
F	85025	Nocardiaceae	383	0	0.17
G	1827	Rhodococcus	256	0	0.11
S	300028	Rhodococcus triatomae	240	240	0.10
G1	192944	unclassified Rhodococcus (in: high G+C Gram-positive bacteria)	12	0	0.01
S	2499145	Rhodococcus sp. X156	11	11	0.00
S	2962047	Rhodococcus sp. Z13	1	1	0.00
S	103816	Rhodococcus pyridinivorans	2	2	0.00
S	1829	Rhodococcus rhodochrous	1	1	0.00
G1	2840174	Rhodococcus erythropolis group	1	0	0.00
S	334542	Rhodococcus qingshengii	1	1	0.00
G	1817	Nocardia	127	0	0.06
S	2213200	Nocardia mangyaensis	113	113	0.05
G1	2637762	unclassified Nocardia	7	0	0.00
S	2975998	Nocardia sp. NBC_01730	5	5	0.00
S	2975990	Nocardia sp. NBC_00403	1	1	0.00
S	2975992	Nocardia sp. NBC_00508	1	1	0.00
S	2984338	Nocardia sputorum	2	2	0.00
S	2755382	Nocardia huaxiensis	1	1	0.00
S	2749991	Nocardia gipuzkoensis	1	1	0.00
S	96468	Nocardia vinacea	1	1	0.00
S	135487	Nocardia cyriacigeorgica	1	1	0.00
S	480035	Nocardia wallacei	1	1	0.00
O	85009	Propionibacteriales	5573	0	2.43
F	85015	Nocardioidaceae	2814	0	1.23
G	1839	Nocardioides	2746	3	1.20
S	402297	Nocardioides daphniae	1301	1301	0.57
S	2483798	Nocardioides pantholopis	701	701	0.31
S	449461	Nocardioides humi	499	499	0.22
S	419476	Nocardioides marinisabuli	138	138	0.06
S	627624	Nocardioides panacisoli	42	42	0.02
G1	2615069	unclassified Nocardioides	35	3	0.02
S	2931390	Nocardioides sp. W7	15	15	0.01
S	2017486	Nocardioides sp. S5	4	4	0.00
S	110319	Nocardioides sp. CF8	3	3	0.00
S	3036374	Nocardioides sp. BP30	2	2	0.00
S	2486272	Nocardioides sp. WS12	2	2	0.00
S	2840457	Nocardioides sp. LMS-CY	1	1	0.00
S	3095076	Nocardioides sp. HM61	1	1	0.00
S	2996826	Nocardioides sp. Arc9.136	1	1	0.00
S	2884264	Nocardioides sp. Kera G14	1	1	0.00
S	2714939	Nocardioides sp. HDW12B	1	1	0.00
S	196162	Nocardioides sp. JS614	1	1	0.00
S	2760089	Nocardioides dongkuii	5	5	0.00
S	642780	Nocardioides scoriae	4	4	0.00
S	2849501	Nocardioides panacis	3	3	0.00
S	2045452	Nocardioides houyundeii	3	3	0.00
S	433659	Nocardioides mesophilus	2	2	0.00
S	2712223	Nocardioides anomalus	2	2	0.00
S	2803858	Nocardioides faecalis	2	2	0.00
S	2663857	Nocardioides marmotae	1	1	0.00
S	2558918	Nocardioides cynanchi	1	1	0.00
S	2714938	Nocardioides piscis	1	1	0.00
S	2518370	Nocardioides euryhalodurans	1	1	0.00
S	1542737	Nocardioides marmorisolisilvae	1	1	0.00
S	160826	Nocardioides aquaticus	1	1	0.00
G	116071	Micropruina	67	0	0.03
S	75385	Micropruina glycogenica	67	67	0.03
G	2040	Aeromicrobium	1	0	0.00
G1	2633570	unclassified Aeromicrobium	1	0	0.00
S	3009077	Aeromicrobium sp. HA	1	1	0.00
F	31957	Propionibacteriaceae	2448	0	1.07
G	72763	Tessaracoccus	1214	0	0.53
S	2161816	Tessaracoccus timonensis	641	641	0.28
S	2829499	Tessaracoccus palaemonis	435	435	0.19
S	1610493	Tessaracoccus flavus	128	128	0.06
G1	2635419	unclassified Tessaracoccus	10	0	0.00
S	3041766	Tessaracoccus sp. T21	10	10	0.00
G	29404	Microlunatus	1132	0	0.49
S	29405	Microlunatus phosphovorus	1018	0	0.44
S1	1032480	Microlunatus phosphovorus NM-1	1018	1018	0.44
S	630515	Microlunatus soli	113	113	0.05
G1	2619695	unclassified Microlunatus	1	0	0.00
S	2672569	Microlunatus sp. Gsoil 973	1	1	0.00
G	1912215	Acidipropionibacterium	98	0	0.04
S	1748	Acidipropionibacterium acidipropionici	92	92	0.04
S	1749	Acidipropionibacterium jensenii	6	6	0.00
G	1911549	Raineyella	2	0	0.00
S	2662261	Raineyella fluvialis	2	2	0.00
G	1743	Propionibacterium	1	0	0.00
S	119981	Propionibacterium australiense	1	1	0.00
G	1912216	Cutibacterium	1	0	0.00
S	33010	Cutibacterium avidum	1	1	0.00
F	2726069	Kribbellaceae	276	0	0.12
G	182639	Kribbella	276	0	0.12
S	182640	Kribbella flavida	276	0	0.12
S1	479435	Kribbella flavida DSM 17836	276	276	0.12
F	2805400	Actinopolymorphaceae	35	0	0.02
G	117156	Actinopolymorpha	35	0	0.02
S	117157	Actinopolymorpha singaporensis	35	35	0.02
O	2495578	Sporichthyales	1742	0	0.76
F	85033	Sporichthyaceae	1742	0	0.76
G	2078948	Epidermidibacterium	1742	0	0.76
S	1891644	Epidermidibacterium keratini	1742	1742	0.76
O	85010	Pseudonocardiales	1197	0	0.52
F	2070	Pseudonocardiaceae	1197	0	0.52
G	2071	Saccharothrix	664	0	0.29
S	103733	Saccharothrix syringae	631	631	0.28
S	103731	Saccharothrix espanaensis	33	0	0.01
S1	1179773	Saccharothrix espanaensis DSM 44229	33	33	0.01
G	40566	Actinosynnema	411	4	0.18
S	40567	Actinosynnema mirum	260	0	0.11
S1	446462	Actinosynnema mirum DSM 43827	260	260	0.11
S	42197	Actinosynnema pretiosum	147	147	0.06
G	1847	Pseudonocardia	105	0	0.05
S	37331	Pseudonocardia petroleophila	105	105	0.05
G	1813	Amycolatopsis	13	2	0.01
G1	2893674	Amycolatopsis methanolica group	5	0	0.00
S	1814	Amycolatopsis methanolica	5	0	0.00
S1	1068978	Amycolatopsis methanolica 239	5	5	0.00
S	1448059	Amycolatopsis rhabdoformis	3	3	0.00
G1	2618356	unclassified Amycolatopsis	3	1	0.00
S	2975955	Amycolatopsis sp. NBC_00345	2	2	0.00
G	1137960	Allokutzneria	1	0	0.00
S	211114	Allokutzneria albata	1	1	0.00
G	674734	Alloactinosynnema	1	0	0.00
G1	2636053	unclassified Alloactinosynnema	1	0	0.00
S	1653480	Alloactinosynnema sp. L-07	1	1	0.00
G	402649	Actinomycetospora	1	0	0.00
G1	2636769	unclassified Actinomycetospora	1	0	0.00
S	2975952	Actinomycetospora sp. NBC_00405	1	1	0.00
G	65496	Actinoalloteichus	1	0	0.00
S	1470176	Actinoalloteichus hoggarensis	1	1	0.00
O	2037	Actinomycetales	1179	0	0.51
F	2049	Actinomycetaceae	1179	0	0.51
G	1522056	Flaviflexus	1164	0	0.51
S	1282737	Flaviflexus salsibiostraticola	1164	1164	0.51
G	1654	Actinomyces	15	1	0.01
S	675090	Actinomyces weissii	14	14	0.01
O	85004	Bifidobacteriales	858	0	0.37
F	31953	Bifidobacteriaceae	858	0	0.37
G	2701	Gardnerella	665	3	0.29
S	2792978	Gardnerella leopoldii	662	662	0.29
G	1678	Bifidobacterium	193	4	0.08
S	28026	Bifidobacterium pseudocatenulatum	185	163	0.08
S1	547043	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	22	22	0.01
S	1683	Bifidobacterium angulatum	4	0	0.00
S1	518635	Bifidobacterium angulatum DSM 20098 = JCM 7096	4	4	0.00
O	1643684	Nakamurellales	554	0	0.24
F	85031	Nakamurellaceae	554	0	0.24
G	53460	Nakamurella	554	0	0.24
S	53461	Nakamurella multipartita	554	0	0.24
S1	479431	Nakamurella multipartita DSM 44233	554	554	0.24
O	85011	Kitasatosporales	498	0	0.22
F	2062	Streptomycetaceae	498	0	0.22
G	1883	Streptomyces	495	39	0.22
S	73044	Streptomyces seoulensis	236	236	0.10
G1	2593676	unclassified Streptomyces	162	16	0.07
S	3075198	Streptomyces sp. ITFR-16	29	29	0.01
S	2975783	Streptomyces sp. NBC_00582	21	21	0.01
S	2705439	Streptomyces sp. S4.7	18	18	0.01
S	2900152	Streptomyces sp. LX-29	11	11	0.00
S	2975700	Streptomyces sp. NBC_00285	8	8	0.00
S	2903862	Streptomyces sp. NBC_01429	6	6	0.00
S	1848900	Streptomyces sp. ST1015	6	6	0.00
S	2975749	Streptomyces sp. NBC_00459	5	5	0.00
S	3062685	Streptomyces sp. VNUA74	5	5	0.00
S	2742137	Streptomyces sp. NA02950	5	5	0.00
S	2903867	Streptomyces sp. NBC_01439	3	3	0.00
S	1460244	Streptomyces sp. PCS3-D2	3	3	0.00
S	3033809	Streptomyces sp. Alt2	2	2	0.00
S	2903832	Streptomyces sp. NBC_01343	2	2	0.00
S	2975737	Streptomyces sp. NBC_00400	2	2	0.00
S	2975940	Streptomyces sp. NBC_01788	2	2	0.00
S	2903669	Streptomyces sp. NBC_00659	1	1	0.00
S	2791991	Streptomyces sp. MUM 178J	1	1	0.00
S	2976008	Streptomyces sp. NBC_00223	1	1	0.00
S	3026192	Streptomyces sp. SCA4-21	1	1	0.00
S	3062449	Streptomyces sp. VNUA116	1	1	0.00
S	1855352	Streptomyces sp. TLI_053	1	1	0.00
S	2662065	Streptomyces sp. SYP-A7193	1	1	0.00
S	2903649	Streptomyces sp. NBC_00435	1	1	0.00
S	1577075	Streptomyces sp. PBH53	1	1	0.00
S	2720714	Streptomyces sp. 891-h	1	1	0.00
S	2949637	Streptomyces sp. Caat 7-52	1	1	0.00
S	2903783	Streptomyces sp. NBC_01224	1	1	0.00
S	2898276	Streptomyces sp. MRC013	1	1	0.00
S	2866715	Streptomyces sp. BHT-5-2	1	1	0.00
S	3118085	Streptomyces sp. SCSIO 30461	1	1	0.00
S	2203205	Streptomyces sp. WAC 01529	1	1	0.00
S	355249	Streptomyces sp. Tu6071	1	1	0.00
S	2838850	Streptomyces sp. 135	1	1	0.00
S	42234	Streptomyces acidiscabies	20	20	0.01
S	2923272	Streptomyces tubbatahanensis	7	7	0.00
S	362257	Streptomyces vietnamensis	5	5	0.00
S	2686304	Streptomyces broussonetiae	4	4	0.00
S	83656	Streptomyces tsukubensis	4	4	0.00
G1	629295	Streptomyces griseus group	3	0	0.00
G2	1482599	Streptomyces halstedii subgroup	2	0	0.00
S	68212	Streptomyces graminofaciens	2	2	0.00
G2	1482596	Streptomyces griseus subgroup	1	0	0.00
S	1911	Streptomyces griseus	1	0	0.00
S1	67263	Streptomyces griseus subsp. griseus	1	1	0.00
S	2981134	Streptomyces cynarae	2	2	0.00
S	1914	Streptomyces lavendulae	2	0	0.00
S1	58340	Streptomyces lavendulae subsp. lavendulae	2	2	0.00
G1	2838335	Streptomyces aurantiacus group	2	0	0.00
S	47760	Streptomyces aurantiacus	2	2	0.00
S	2014920	Streptomyces capitiformicae	1	1	0.00
S	2768066	Streptomyces roseirectus	1	1	0.00
S	2548456	Streptomyces aquilus	1	1	0.00
S	54571	Streptomyces venezuelae	1	1	0.00
S	80860	Streptomyces cyanogenus	1	1	0.00
S	1642299	Streptomyces alfalfae	1	1	0.00
S	1889	Streptomyces ambofaciens	1	1	0.00
S	235987	Streptomyces jietaisiensis	1	1	0.00
S	1901	Streptomyces clavuligerus	1	1	0.00
G	2995706	Streptantibioticus	3	0	0.00
S	29303	Streptantibioticus cattleyicolor	3	0	0.00
